@relation primaryAction

@attribute one_field_invoked_or_written {true,false}
@attribute is_constructor {true,false}
@attribute returns_boolean {true,false}
@attribute num_param_reads numeric
@attribute num_field_reads numeric
@attribute num_field_writes numeric
@attribute primaryAction {compute,compare,set,test,get,create,methodName,convert}

@data
false,false,false,0,2,0,compute
true,false,false,0,5,1,compute
false,false,false,4,9,0,compute
true,false,false,0,6,3,compute
false,false,false,0,0,0,compute
false,false,false,0,9,4,compute
false,false,false,0,0,0,compute
false,false,false,6,13,0,compute
false,false,false,0,0,0,compute
false,false,false,3,2,0,compute
true,false,false,2,5,3,compute
false,false,false,0,0,0,compute
true,false,false,0,3,1,compute
false,false,false,0,0,0,compute
false,false,false,4,6,0,compute
false,false,false,7,13,0,compute
false,false,false,5,4,0,compute
false,false,false,1,3,0,compute
false,false,false,12,20,1,compute
false,false,false,2,4,0,compute
true,false,false,6,11,5,compute
false,false,false,2,2,0,compute
true,false,false,6,9,4,compute
true,false,false,0,0,0,compute
false,false,false,5,0,0,compute
false,false,false,4,0,0,compute
true,false,false,0,4,1,compute
false,false,false,3,5,0,compare
false,false,false,2,0,0,compare
false,false,true,3,4,0,compare
false,false,false,2,0,0,compare
true,false,false,1,0,0,compare
false,false,false,0,4,0,compare
false,false,false,1,0,0,compare
false,false,true,2,0,0,compare
false,false,true,1,5,0,compare
false,false,true,0,3,0,compare
false,false,true,0,4,0,compare
false,false,false,3,0,0,set
false,false,false,3,0,0,set
true,false,true,1,1,0,set
true,false,true,1,1,0,set
true,false,true,1,1,0,set
false,false,true,1,0,0,set
false,false,true,1,0,0,set
true,false,true,2,1,0,set
false,false,true,1,0,0,set
true,false,true,0,1,0,set
false,false,false,2,0,0,set
false,false,false,0,0,0,set
false,false,false,0,0,0,set
true,false,false,0,2,1,set
false,false,false,0,0,0,set
true,false,false,0,2,1,set
false,false,false,0,0,0,set
false,false,false,0,0,0,set
true,false,false,0,2,1,set
false,false,false,0,0,0,set
true,false,false,0,2,1,set
false,false,false,0,0,0,set
false,false,false,0,0,0,set
true,false,false,4,2,2,set
false,false,false,1,0,0,set
false,false,false,1,0,0,set
false,false,false,1,0,0,set
true,false,false,2,1,1,set
true,false,false,4,2,2,set
false,false,false,1,0,0,set
true,false,false,2,1,1,set
true,false,false,4,2,2,set
true,false,false,2,1,1,set
false,false,true,0,0,0,test
false,false,true,2,1,0,test
false,false,true,2,1,0,test
false,false,true,2,2,0,test
false,false,true,3,0,0,test
false,false,true,3,0,0,test
true,false,true,0,1,0,test
true,false,true,0,1,0,test
true,false,true,0,1,0,test
true,false,true,0,1,0,test
true,false,true,0,1,0,test
true,false,true,0,0,0,test
true,false,true,0,1,0,test
false,false,true,3,0,0,test
true,false,true,0,1,0,test
false,false,true,0,0,0,test
false,false,true,5,4,0,test
false,false,true,11,4,0,test
false,false,true,1,0,0,test
false,false,true,1,0,0,test
false,false,true,0,1,0,test
false,false,true,2,2,0,test
false,false,true,0,0,0,test
false,false,true,11,4,0,test
false,false,true,0,0,0,test
false,false,false,0,1,0,get
false,false,false,1,2,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,1,0,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,0,0,0,get
false,false,false,0,0,0,get
false,false,false,3,4,0,get
false,false,false,2,0,0,get
false,false,false,1,3,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,0,2,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
false,false,false,0,1,0,get
true,false,false,0,0,0,get
true,false,false,0,0,0,get
true,false,false,0,1,0,get
true,false,false,0,0,0,get
false,false,false,0,0,0,get
true,false,false,0,1,0,get
false,false,false,0,0,0,get
false,false,false,0,0,0,get
true,false,false,0,1,0,get
true,false,false,0,1,0,get
true,false,false,0,0,0,get
